day,material,temperature,burner_power
2000-08-14,189099,320.0,87.0
2000-08-15,171892,320.0,96.0
2000-08-16,133930,320.0,63.0
2000-08-17,146774,229.0,43.0
2000-08-18,128651,253.5,78.0
2000-08-19,162885,320.0,88.0
2000-08-20,247069,320.0,68.0
2000-08-21,296252,277.5,52.0
2000-08-22,198927,320.0,82.0
2000-08-23,197768,307.0,92.0
2000-08-24,174498,320.0,43.0
2000-08-25,163003,282.5,69.0
2000-08-26,185971,296.5,77.0
2000-08-27,265081,320.0,87.0
2000-08-28,274743,320.0,85.0
2000-08-29,117582,235.5,86.0
2000-08-30,129844,249.0,53.0
2000-08-31,184917,260.0,48.0
2000-09-01,138429,237.5,88.0
2000-09-02,181475,218.0,58.0
2000-09-03,176323,276.5,61.0
2000-09-04,182727,298.0,94.0
2000-09-05,160809,285.0,82.0
2000-09-06,233193,320.0,89.0
2000-09-07,276425,296.5,92.0
2000-09-08,234958,215.5,73.0
2000-09-09,141690,277.0,43.0
2000-09-10,175523,320.0,98.0
2000-09-11,213417,320.0,56.0
2000-09-12,226346,320.0,54.0
2000-09-13,226491,248.0,50.0
2000-09-14,182119,318.0,66.0
2000-09-15,236253,231.5,93.0
2000-09-16,143349,218.5,54.0
2000-09-17,273986,288.5,52.0
2000-09-18,171713,260.0,80.0
2000-09-19,294792,302.0,61.0
2000-09-20,220868,304.5,51.0
2000-09-21,216480,320.0,83.0
2000-09-22,147394,320.0,87.0
2000-09-23,100894,320.0,76.0
2000-09-24,163413,208.0,44.0
2000-09-25,220062,285.5,98.0
2000-09-26,279280,308.0,83.0
2000-09-27,261214,309.5,66.0
2000-09-28,132904,320.0,95.0
2000-09-29,257885,253.0,79.0
2000-09-30,270113,298.0,55.0
2000-10-01,159601,320.0,76.0
2000-10-02,191504,316.0,70.0
2000-10-03,212931,251.0,90.0
2000-10-04,179224,300.5,55.0
2000-10-05,168955,283.0,78.0
2000-10-06,182088,229.5,85.0
2000-10-07,106004,320.0,51.0
2000-10-08,266692,296.5,58.0
2000-10-09,210768,250.0,84.0
2000-10-10,142521,221.0,77.0
2000-10-11,157191,314.0,80.0
2000-10-12,157852,320.0,72.0
2000-10-13,201490,242.5,85.0
2000-10-14,122302,295.5,62.0
2000-10-15,183697,316.5,45.0
2000-10-16,152513,257.0,54.0
2000-10-17,285617,221.0,61.0
2000-10-18,219005,308.5,59.0
2000-10-19,120989,320.0,71.0
2000-10-20,233634,320.0,98.0
2000-10-21,253669,269.0,81.0
2000-10-22,256556,252.0,63.0
2000-10-23,192925,309.5,59.0
2000-10-24,277474,275.5,88.0
2000-10-25,193807,297.5,91.0
2000-10-26,111605,304.0,73.0
2000-10-27,198727,268.0,92.0
2000-10-28,226503,208.0,46.0
2000-10-29,296555,305.5,78.0
2000-10-30,193846,251.0,64.0
2000-10-31,226366,230.5,93.0
2000-11-01,292145,227.5,46.0
2000-11-02,221542,233.5,81.0
2000-11-03,199271,284.0,94.0
2000-11-04,207356,228.5,69.0
2000-11-05,122571,320.0,62.0
2000-11-06,285427,301.5,82.0
2000-11-07,264273,292.0,98.0
2000-11-08,178633,320.0,63.0
2000-11-09,188157,288.0,60.0
2000-11-10,144889,320.0,64.0
2000-11-11,184466,296.0,92.0
2000-11-12,196736,278.5,57.0
2000-11-13,179835,260.5,67.0
2000-11-14,182249,310.0,96.0
2000-11-15,116363,221.0,55.0
2000-11-16,255857,218.0,75.0
2000-11-17,286985,319.0,67.0
2000-11-18,163418,320.0,46.0
2000-11-19,267808,293.0,59.0
2000-11-20,190070,320.0,83.0
2000-11-21,297648,258.5,78.0
2000-11-22,171786,258.0,60.0
2000-11-23,157508,309.0,46.0
2000-11-24,190718,295.5,97.0
2000-11-25,238776,275.5,65.0
2000-11-26,172308,271.0,96.0
2000-11-27,142179,320.0,91.0
2000-11-28,125907,260.5,66.0
2000-11-29,276264,308.0,83.0
2000-11-30,240216,248.0,70.0
2000-12-01,258813,278.5,56.0
2000-12-02,162551,320.0,57.0
2000-12-03,233267,281.0,92.0
2000-12-04,235752,241.0,50.0
2000-12-05,286823,320.0,94.0
2000-12-06,256759,320.0,71.0
2000-12-07,152237,320.0,45.0
2000-12-08,197594,243.0,42.0
2000-12-09,220401,246.5,59.0
2000-12-10,138008,226.5,86.0
2000-12-11,241172,233.5,89.0
2000-12-12,160343,312.5,55.0
2000-12-13,143723,211.5,50.0
2000-12-14,285252,263.0,55.0
2000-12-15,288697,208.0,51.0
2000-12-16,145856,282.0,98.0
2000-12-17,189514,320.0,61.0
2000-12-18,252022,248.0,47.0
2000-12-19,240572,242.5,87.0
2000-12-20,152548,263.5,53.0
2000-12-21,146614,265.5,70.0
2000-12-22,220035,320.0,73.0
2000-12-23,254490,272.5,68.0
2000-12-24,149747,303.0,81.0
2000-12-25,133415,320.0,73.0
2000-12-26,112232,320.0,83.0
2000-12-27,248029,263.5,71.0
2000-12-28,205101,245.0,98.0
2000-12-29,203941,300.5,47.0
2000-12-30,157600,303.0,42.0
2000-12-31,258856,320.0,56.0
2001-01-01,275311,286.5,98.0
2001-01-02,203563,312.0,52.0
2001-01-03,207524,260.5,69.0
2001-01-04,139335,261.0,69.0
2001-01-05,268284,306.0,47.0
2001-01-06,283213,276.5,90.0
2001-01-07,293818,320.0,93.0
2001-01-08,264426,255.5,96.0
2001-01-09,285326,260.5,80.0
2001-01-10,107601,317.5,72.0
2001-01-11,127867,237.0,73.0
2001-01-12,111059,262.5,58.0
2001-01-13,166275,290.0,98.0
2001-01-14,252338,320.0,84.0
2001-01-15,236482,228.0,92.0
2001-01-16,148691,246.0,97.0
2001-01-17,279870,266.5,94.0
2001-01-18,182357,258.0,90.0
2001-01-19,169434,320.0,42.0
2001-01-20,194123,317.0,48.0
2001-01-21,249303,320.0,83.0
2001-01-22,109724,305.0,67.0
2001-01-23,123314,238.0,53.0
2001-01-24,297549,258.0,98.0
2001-01-25,127479,316.5,84.0
2001-01-26,125025,286.5,66.0
2001-01-27,242662,320.0,64.0
2001-01-28,285834,283.0,87.0
2001-01-29,131838,275.0,75.0
2001-01-30,118491,315.5,74.0
2001-01-31,114672,320.0,74.0
2001-02-01,191802,298.0,54.0
2001-02-02,195868,320.0,64.0
2001-02-03,242906,259.0,76.0
2001-02-04,293642,302.5,64.0
2001-02-05,173929,274.0,52.0
2001-02-06,156620,269.0,44.0
2001-02-07,147993,222.0,51.0
2001-02-08,298470,264.5,76.0
2001-02-09,207046,267.0,72.0
2001-02-10,202055,320.0,90.0
2001-02-11,230061,207.5,49.0
2001-02-12,166439,320.0,89.0
2001-02-13,115352,320.0,69.0
2001-02-14,295094,303.5,74.0
2001-02-15,114297,233.0,51.0
2001-02-16,236968,260.0,48.0
2001-02-17,112003,272.0,97.0
2001-02-18,173478,320.0,77.0
2001-02-19,123761,279.5,64.0
2001-02-20,273511,291.5,46.0
2001-02-21,229492,299.5,91.0
2001-02-22,203897,250.0,54.0
2001-02-23,181858,239.0,70.0
2001-02-24,195804,253.5,45.0
2001-02-25,227376,311.0,82.0
2001-02-26,152280,259.5,65.0
2001-02-27,205330,264.5,45.0
2001-02-28,267661,231.0,65.0
2001-03-01,184631,235.0,74.0
2001-03-02,239544,271.5,65.0
2001-03-03,297636,320.0,77.0
2001-03-04,135428,320.0,86.0
2001-03-05,162444,269.5,98.0
2001-03-06,167889,251.0,62.0
2001-03-07,187582,206.0,42.0
2001-03-08,238806,320.0,93.0
2001-03-09,128436,320.0,80.0
2001-03-10,123905,320.0,72.0
2001-03-11,126981,264.5,80.0
2001-03-12,176473,237.0,58.0
2001-03-13,145463,296.0,63.0
2001-03-14,166589,268.0,70.0
2001-03-15,119361,276.5,84.0
2001-03-16,121875,295.0,87.0
2001-03-17,136661,272.0,91.0
2001-03-18,233751,269.5,69.0
2001-03-19,176723,306.5,51.0
2001-03-20,262294,320.0,87.0
2001-03-21,226983,299.5,73.0
2001-03-22,168201,250.5,95.0
2001-03-23,184977,313.5,57.0
2001-03-24,130857,307.5,78.0
2001-03-25,139606,311.0,95.0
2001-03-26,231923,233.5,43.0
2001-03-27,105028,320.0,77.0
2001-03-28,251249,304.5,58.0
2001-03-29,222741,297.0,94.0
2001-03-30,139920,320.0,64.0
2001-03-31,218019,290.5,47.0
2001-04-01,155082,296.5,61.0
2001-04-02,122036,316.5,72.0
2001-04-03,138212,320.0,42.0
2001-04-04,182032,256.0,62.0
2001-04-05,265807,320.0,54.0
2001-04-06,182570,234.5,87.0
2001-04-07,101384,291.0,47.0
2001-04-08,179403,308.5,97.0
2001-04-09,165599,282.0,50.0
2001-04-10,202303,282.0,44.0
2001-04-11,151654,320.0,98.0
2001-04-12,162729,226.0,76.0
2001-04-13,152668,224.0,88.0
2001-04-14,119055,249.5,88.0
2001-04-15,277571,320.0,58.0
2001-04-16,191980,244.0,52.0
2001-04-17,136209,320.0,89.0
2001-04-18,239082,256.0,88.0
2001-04-19,159618,272.0,84.0
2001-04-20,179073,320.0,98.0
2001-04-21,151115,228.5,57.0
2001-04-22,171299,320.0,83.0
2001-04-23,250412,280.0,95.0
2001-04-24,153121,308.0,98.0
2001-04-25,114705,316.0,79.0
2001-04-26,287520,320.0,61.0
2001-04-27,125274,320.0,47.0
2001-04-28,182212,227.5,75.0
2001-04-29,131075,248.5,72.0
2001-04-30,153251,238.0,98.0
2001-05-01,170882,215.5,53.0
2001-05-02,123417,263.5,90.0
2001-05-03,113729,245.5,68.0
2001-05-04,254908,311.5,66.0
2001-05-05,156132,292.0,52.0
2001-05-06,169658,308.5,85.0
2001-05-07,166272,320.0,92.0
2001-05-08,257944,308.0,95.0
2001-05-09,202765,308.0,94.0
2001-05-10,183891,247.0,96.0
2001-05-11,242537,246.0,82.0
2001-05-12,179285,238.5,95.0
2001-05-13,206693,219.5,47.0
2001-05-14,133374,320.0,87.0
2001-05-15,249576,237.0,44.0
2001-05-16,145302,250.0,73.0
2001-05-17,221684,232.5,87.0
2001-05-18,289575,259.0,59.0
2001-05-19,216419,320.0,67.0
2001-05-20,115835,320.0,53.0
2001-05-21,238860,320.0,60.0
2001-05-22,152547,285.0,64.0
2001-05-23,204550,291.5,89.0
2001-05-24,124404,210.0,51.0
2001-05-25,258023,320.0,91.0
2001-05-26,138111,218.0,71.0
2001-05-27,298912,310.5,46.0
2001-05-28,111909,217.0,49.0
2001-05-29,201723,317.5,89.0
2001-05-30,199435,216.5,71.0
2001-05-31,197182,320.0,92.0
2001-06-01,245353,320.0,55.0
2001-06-02,249459,217.5,67.0
2001-06-03,160935,264.0,68.0
2001-06-04,291637,245.5,88.0
2001-06-05,189564,286.0,66.0
2001-06-06,113704,300.0,53.0
2001-06-07,281931,258.5,54.0
2001-06-08,240846,320.0,98.0
2001-06-09,173728,304.5,77.0
2001-06-10,173064,320.0,80.0
2001-06-11,228089,295.0,44.0
2001-06-12,250003,319.0,83.0
2001-06-13,168219,314.5,51.0
2001-06-14,255991,320.0,87.0
2001-06-15,180992,320.0,50.0
2001-06-16,128954,305.0,51.0
2001-06-17,221550,211.5,59.0
2001-06-18,171712,320.0,83.0
2001-06-19,193299,219.5,59.0
2001-06-20,270438,235.0,59.0
2001-06-21,105985,320.0,73.0
2001-06-22,137292,320.0,78.0
2001-06-23,199131,268.5,47.0
2001-06-24,175577,298.5,51.0
2001-06-25,287058,260.5,48.0
2001-06-26,241485,234.5,57.0
2001-06-27,130441,320.0,62.0
2001-06-28,168740,320.0,76.0
2001-06-29,291929,320.0,81.0
2001-06-30,231165,273.0,74.0
2001-07-01,135235,251.0,63.0
2001-07-02,267618,255.5,52.0
2001-07-03,165940,320.0,57.0
2001-07-04,105037,237.0,57.0
2001-07-05,256857,258.0,69.0
2001-07-06,277103,271.5,86.0
2001-07-07,296983,289.5,62.0
2001-07-08,181572,211.0,42.0
2001-07-09,176478,254.5,87.0
2001-07-10,116881,318.5,70.0
2001-07-11,287890,258.0,45.0
2001-07-12,254829,320.0,61.0
2001-07-13,109630,320.0,82.0
2001-07-14,195597,288.5,63.0
2001-07-15,196087,296.5,81.0
2001-07-16,207234,320.0,92.0
2001-07-17,205033,259.5,63.0
2001-07-18,299898,213.5,48.0
2001-07-19,265402,258.0,93.0
2001-07-20,162838,295.0,42.0
2001-07-21,256108,320.0,50.0
2001-07-22,196975,301.5,75.0
2001-07-23,164866,221.5,51.0
2001-07-24,259322,320.0,62.0
2001-07-25,197254,274.0,92.0
2001-07-26,116080,320.0,48.0
2001-07-27,230621,253.0,98.0
2001-07-28,158812,320.0,89.0
2001-07-29,156111,211.0,64.0
2001-07-30,229018,209.0,50.0
2001-07-31,170272,284.0,42.0
2001-08-01,103466,250.0,67.0
2001-08-02,120427,294.5,62.0
2001-08-03,170238,320.0,90.0
2001-08-04,138406,247.0,75.0
2001-08-05,140621,263.0,53.0
2001-08-06,279445,320.0,52.0
2001-08-07,147273,302.5,60.0
2001-08-08,139078,295.5,64.0
2001-08-09,234059,290.0,92.0
2001-08-10,252146,267.0,95.0
2001-08-11,128039,320.0,74.0
2001-08-12,299900,308.0,87.0
2001-08-13,217569,253.0,72.0
2001-08-14,269641,298.0,55.0
2001-08-15,229858,304.5,77.0
2001-08-16,242172,235.5,57.0
2001-08-17,272366,320.0,90.0
2001-08-18,256891,242.0,75.0
2001-08-19,108292,223.5,76.0
2001-08-20,175997,264.5,61.0
2001-08-21,228178,288.0,88.0
2001-08-22,271516,295.5,72.0
2001-08-23,190286,320.0,83.0
2001-08-24,173330,263.5,71.0
2001-08-25,251201,280.0,79.0
2001-08-26,268716,222.0,85.0
2001-08-27,273801,260.0,98.0
2001-08-28,272880,300.0,95.0
2001-08-29,187496,320.0,71.0
2001-08-30,195219,286.0,92.0
2001-08-31,233245,291.0,48.0
2001-09-01,174890,320.0,62.0
2001-09-02,237946,320.0,60.0
2001-09-03,189208,227.5,45.0
2001-09-04,161761,214.5,63.0
2001-09-05,184416,246.5,51.0
2001-09-06,233829,283.0,98.0
2001-09-07,243192,320.0,53.0
2001-09-08,123842,280.0,83.0
2001-09-09,221532,264.5,71.0
2001-09-10,283534,320.0,55.0
2001-09-11,274936,237.5,98.0
2001-09-12,296166,320.0,84.0
2001-09-13,173364,219.0,58.0
2001-09-14,202172,301.5,75.0
2001-09-15,252179,320.0,98.0
2001-09-16,236002,282.5,83.0
2001-09-17,280828,320.0,93.0
2001-09-18,157308,320.0,97.0
2001-09-19,201990,299.5,95.0
2001-09-20,185371,320.0,68.0
2001-09-21,251237,301.0,69.0
2001-09-22,231172,212.5,51.0
2001-09-23,153942,216.5,45.0
2001-09-24,174573,320.0,58.0
2001-09-25,237109,320.0,43.0
2001-09-26,154779,246.5,87.0
2001-09-27,125247,273.5,82.0
2001-09-28,152817,288.0,74.0
2001-09-29,124813,302.5,98.0
2001-09-30,148371,248.0,49.0
2001-10-01,147354,320.0,85.0
2001-10-02,196648,320.0,93.0
2001-10-03,156062,233.0,64.0
2001-10-04,122957,303.0,97.0
2001-10-05,138870,320.0,84.0
2001-10-06,260921,259.5,70.0
2001-10-07,223886,319.5,47.0
2001-10-08,168727,252.5,71.0
2001-10-09,142661,320.0,95.0
2001-10-10,140831,268.0,83.0
2001-10-11,228385,259.0,66.0
2001-10-12,139308,314.5,58.0
2001-10-13,234490,247.5,77.0
2001-10-14,174314,318.5,85.0
2001-10-15,131739,320.0,92.0
2001-10-16,154198,270.5,53.0
2001-10-17,205550,268.5,71.0
2001-10-18,272862,320.0,98.0
2001-10-19,224488,272.5,81.0
2001-10-20,230861,293.5,61.0
2001-10-21,185125,268.0,72.0
2001-10-22,214223,320.0,62.0
2001-10-23,252746,297.5,82.0
2001-10-24,171818,246.0,58.0
2001-10-25,101337,207.0,51.0
2001-10-26,267387,226.5,90.0
2001-10-27,113657,264.0,77.0
2001-10-28,236317,225.5,79.0
2001-10-29,127342,216.5,62.0
2001-10-30,103922,221.0,83.0
2001-10-31,101221,228.0,41.0
2001-11-01,146778,225.0,59.0
2001-11-02,232996,252.5,61.0
2001-11-03,287409,285.0,98.0
2001-11-04,108901,318.0,53.0
2001-11-05,272479,305.5,72.0
2001-11-06,149502,273.0,41.0
2001-11-07,251171,239.0,49.0
2001-11-08,194533,320.0,84.0
2001-11-09,137028,228.0,83.0
2001-11-10,222426,223.5,61.0
2001-11-11,207697,320.0,51.0
2001-11-12,234583,307.0,58.0
2001-11-13,176440,302.0,56.0
2001-11-14,297281,320.0,93.0
2001-11-15,265778,212.5,44.0
2001-11-16,276590,320.0,72.0
2001-11-17,256401,234.5,92.0
2001-11-18,216661,214.5,61.0
2001-11-19,129419,320.0,62.0
2001-11-20,227022,320.0,98.0
2001-11-21,230544,289.0,66.0
2001-11-22,143647,306.0,85.0
2001-11-23,131649,290.0,61.0
2001-11-24,206833,320.0,71.0
2001-11-25,285501,251.5,94.0
2001-11-26,193708,249.0,80.0
2001-11-27,161046,320.0,47.0
2001-11-28,142798,235.5,58.0
2001-11-29,291350,297.0,51.0
2001-11-30,128960,290.0,87.0
2001-12-01,271810,262.5,94.0
2001-12-02,127260,271.5,72.0
2001-12-03,194617,297.5,85.0
2001-12-04,258894,217.0,73.0
2001-12-05,110738,245.0,75.0
2001-12-06,222731,320.0,63.0
2001-12-07,263380,320.0,80.0
2001-12-08,222857,313.5,89.0
2001-12-09,112910,257.0,95.0
2001-12-10,138464,260.0,65.0
2001-12-11,103404,320.0,95.0
2001-12-12,161302,257.0,76.0
2001-12-13,110825,225.0,91.0
2001-12-14,268082,320.0,98.0
2001-12-15,217508,217.5,45.0
2001-12-16,150951,290.5,53.0
2001-12-17,266531,320.0,74.0
2001-12-18,207568,320.0,89.0
2001-12-19,258796,320.0,61.0
2001-12-20,171973,220.0,68.0
2001-12-21,112404,247.0,77.0
2001-12-22,142477,318.0,81.0
2001-12-23,139021,281.0,98.0
2001-12-24,110194,290.5,82.0
2001-12-25,175955,320.0,98.0
2001-12-26,274641,320.0,64.0
2001-12-27,209639,294.0,72.0
2001-12-28,275537,279.5,44.0
2001-12-29,203709,320.0,87.0
2001-12-30,219299,268.5,95.0
2001-12-31,239338,305.5,69.0
2002-01-01,197876,289.0,86.0
2002-01-02,209889,311.5,55.0
2002-01-03,138775,255.0,59.0
2002-01-04,169140,253.5,95.0
2002-01-05,168816,274.5,45.0
2002-01-06,236234,236.0,64.0
2002-01-07,269458,282.0,91.0
2002-01-08,214716,255.0,78.0
2002-01-09,134202,291.5,88.0
2002-01-10,136020,235.5,74.0
2002-01-11,237520,320.0,61.0
2002-01-12,147042,289.5,96.0
2002-01-13,126214,320.0,71.0
2002-01-14,125353,320.0,95.0
2002-01-15,238498,289.0,58.0
2002-01-16,111636,320.0,56.0
2002-01-17,229900,254.5,89.0
2002-01-18,100612,256.0,71.0
2002-01-19,191204,268.0,42.0
2002-01-20,157961,320.0,84.0
2002-01-21,142506,303.0,57.0
2002-01-22,186028,320.0,65.0
2002-01-23,285960,278.0,59.0
2002-01-24,274305,320.0,55.0
2002-01-25,127045,320.0,82.0
2002-01-26,251719,257.0,89.0
2002-01-27,240192,289.0,42.0
2002-01-28,158746,320.0,95.0
2002-01-29,174650,250.5,97.0
2002-01-30,165635,307.0,84.0
2002-01-31,287609,309.0,89.0
2002-02-01,298962,263.0,43.0
2002-02-02,286132,232.5,44.0
2002-02-03,276862,320.0,70.0
2002-02-04,296252,262.0,77.0
2002-02-05,101608,296.0,63.0
2002-02-06,285618,320.0,93.0
2002-02-07,130105,320.0,73.0
2002-02-08,173255,296.0,86.0
2002-02-09,111498,313.5,52.0
2002-02-10,214972,275.5,49.0
2002-02-11,130360,270.5,86.0
2002-02-12,242994,270.0,70.0
2002-02-13,296291,264.5,94.0
2002-02-14,212812,320.0,74.0
